id	k	g	s
30691	0.400	0.400	0.900
30690	0.400	0.400	0.800
30689	0.400	0.400	0.700
30688	0.400	0.400	0.600
30687	0.400	0.400	0.500
30686	0.400	0.400	0.400
30685	0.400	0.400	0.300
30684	0.400	0.400	0.200
30683	0.400	0.400	0.100
30682	0.400	0.400	0.000
8585	0.050	0.100	0.200
8081	0.150	0.600	0.500
8080	0.150	0.500	0.500
8079	0.150	0.400	0.500
8078	0.150	0.300	0.500
8077	0.150	0.200	0.500
8076	0.150	0.100	0.500
8075	0.150	0.000	0.500
8074	0.050	0.000	0.500
12727	0.350	0.250	0.300
8584	0.050	0.000	0.200
7942	0.050	0.800	0.300
7941	0.050	0.700	0.300
7940	0.050	0.600	0.300
7939	0.050	0.500	0.300
7938	0.050	0.400	0.300
7937	0.050	0.300	0.300
7936	0.050	0.200	0.300
7935	0.050	0.100	0.300
7934	0.050	0.000	0.300
8209	1.450	0.400	0.500
7931	1.650	0.800	0.300
7930	1.650	0.700	0.300
7929	1.650	0.600	0.300
7928	1.650	0.500	0.300
8208	1.450	0.300	0.500
8207	1.450	0.200	0.500
8206	1.450	0.100	0.500
8205	1.450	0.000	0.500
8204	1.350	0.900	0.500
8203	1.350	0.800	0.500
8202	1.350	0.700	0.500
7920	1.550	0.700	0.300
7919	1.550	0.600	0.300
7918	1.550	0.500	0.300
7917	1.550	0.400	0.300
8201	1.350	0.600	0.500
8200	1.350	0.500	0.500
8199	1.350	0.400	0.500
8198	1.350	0.300	0.500
8197	1.350	0.200	0.500
8196	1.350	0.100	0.500
8195	1.350	0.000	0.500
7909	1.450	0.600	0.300
7908	1.450	0.500	0.300
7907	1.450	0.400	0.300
8194	1.250	0.900	0.500
8193	1.250	0.800	0.500
8192	1.250	0.700	0.500
8191	1.250	0.600	0.500
8190	1.250	0.500	0.500
8189	1.250	0.400	0.500
8188	1.250	0.300	0.500
8187	1.250	0.200	0.500
8186	1.250	0.100	0.500
7897	1.350	0.400	0.300
7896	1.350	0.300	0.300
8185	1.250	0.000	0.500
8184	1.150	0.900	0.500
8183	1.150	0.800	0.500
8182	1.150	0.700	0.500
8181	1.150	0.600	0.500
8180	1.150	0.500	0.500
8179	1.150	0.400	0.500
8178	1.150	0.300	0.500
8177	1.150	0.200	0.500
7886	1.250	0.300	0.300
7885	1.250	0.200	0.300
8176	1.150	0.100	0.500
8175	1.150	0.000	0.500
8174	1.050	0.900	0.500
8173	1.050	0.800	0.500
8172	1.050	0.700	0.500
8171	1.050	0.600	0.500
8170	1.050	0.500	0.500
8169	1.050	0.400	0.500
8168	1.050	0.300	0.500
7875	1.150	0.200	0.300
7874	1.150	0.100	0.300
7873	1.150	0.000	0.300
8167	1.050	0.200	0.500
8166	1.050	0.100	0.500
8165	1.050	0.000	0.500
8164	0.950	0.900	0.500
8163	0.950	0.800	0.500
8162	0.950	0.700	0.500
8161	0.950	0.600	0.500
8160	0.950	0.500	0.500
7864	1.050	0.100	0.300
7863	1.050	0.000	0.300
8159	0.950	0.400	0.500
8158	0.950	0.300	0.500
8157	0.950	0.200	0.500
8156	0.950	0.100	0.500
8155	0.950	0.000	0.500
8154	0.850	0.900	0.500
8153	0.850	0.800	0.500
8152	0.850	0.700	0.500
7854	0.950	0.100	0.300
7853	0.950	0.000	0.300
8151	0.850	0.600	0.500
8150	0.850	0.500	0.500
8149	0.850	0.400	0.500
8148	0.850	0.300	0.500
8147	0.850	0.200	0.500
8146	0.850	0.100	0.500
8145	0.850	0.000	0.500
7845	0.850	0.200	0.300
7844	0.850	0.100	0.300
7843	0.850	0.000	0.300
8144	0.750	0.900	0.500
8143	0.750	0.800	0.500
8142	0.750	0.700	0.500
8141	0.750	0.600	0.500
8140	0.750	0.500	0.500
8139	0.750	0.400	0.500
7836	0.750	0.300	0.300
7835	0.750	0.200	0.300
8138	0.750	0.300	0.500
8137	0.750	0.200	0.500
8136	0.750	0.100	0.500
8135	0.750	0.000	0.500
8134	0.650	0.900	0.500
8133	0.650	0.800	0.500
8132	0.650	0.700	0.500
7827	0.650	0.400	0.300
7826	0.650	0.300	0.300
8131	0.650	0.600	0.500
8130	0.650	0.500	0.500
8129	0.650	0.400	0.500
8128	0.650	0.300	0.500
8127	0.650	0.200	0.500
8126	0.650	0.100	0.500
8125	0.650	0.000	0.500
7818	0.550	0.500	0.300
7817	0.550	0.400	0.300
8124	0.550	0.900	0.500
8123	0.550	0.800	0.500
8122	0.550	0.700	0.500
8121	0.550	0.600	0.500
8120	0.550	0.500	0.500
8119	0.550	0.400	0.500
8118	0.550	0.300	0.500
7809	0.450	0.600	0.300
7808	0.450	0.500	0.300
8117	0.550	0.200	0.500
8116	0.550	0.100	0.500
8115	0.550	0.000	0.500
8114	0.450	0.900	0.500
8113	0.450	0.800	0.500
8112	0.450	0.700	0.500
8111	0.450	0.600	0.500
7800	0.350	0.700	0.300
7799	0.350	0.600	0.300
8110	0.450	0.500	0.500
8109	0.450	0.400	0.500
8108	0.450	0.300	0.500
8107	0.450	0.200	0.500
8106	0.450	0.100	0.500
8105	0.450	0.000	0.500
8104	0.350	0.900	0.500
7791	0.250	0.800	0.300
7790	0.250	0.700	0.300
8103	0.350	0.800	0.500
8102	0.350	0.700	0.500
8101	0.350	0.600	0.500
8100	0.350	0.500	0.500
8099	0.350	0.400	0.500
8098	0.350	0.300	0.500
8097	0.350	0.200	0.500
8096	0.350	0.100	0.500
8095	0.350	0.000	0.500
8094	0.250	0.900	0.500
8093	0.250	0.800	0.500
8092	0.250	0.700	0.500
8091	0.250	0.600	0.500
8090	0.250	0.500	0.500
8089	0.250	0.400	0.500
8088	0.250	0.300	0.500
8087	0.250	0.200	0.500
7073	0.050	0.000	0.600
7074	0.050	0.100	0.600
7075	0.050	0.200	0.600
7076	0.050	0.300	0.600
7077	0.050	0.400	0.600
7078	0.050	0.500	0.600
7079	0.050	0.600	0.600
7080	0.050	0.700	0.600
7081	0.050	0.800	0.600
7082	0.050	0.900	0.600
7083	0.150	0.000	0.600
7084	0.150	0.100	0.600
7085	0.150	0.200	0.600
7086	0.150	0.300	0.600
7087	0.150	0.400	0.600
7088	0.150	0.500	0.600
7089	0.150	0.600	0.600
7090	0.150	0.700	0.600
7091	0.150	0.800	0.600
7092	0.150	0.900	0.600
7093	0.250	0.000	0.600
7094	0.250	0.100	0.600
7095	0.250	0.200	0.600
7096	0.250	0.300	0.600
7097	0.250	0.400	0.600
7098	0.250	0.500	0.600
7099	0.250	0.600	0.600
8086	0.250	0.100	0.500
8085	0.250	0.000	0.500
7102	0.250	0.900	0.600
7103	0.350	0.000	0.600
7104	0.350	0.100	0.600
7105	0.350	0.200	0.600
7106	0.350	0.300	0.600
7107	0.350	0.400	0.600
7108	0.350	0.500	0.600
8084	0.150	0.900	0.500
8083	0.150	0.800	0.500
7111	0.350	0.800	0.600
7112	0.350	0.900	0.600
7113	0.450	0.000	0.600
7114	0.450	0.100	0.600
7115	0.450	0.200	0.600
7116	0.450	0.300	0.600
7117	0.450	0.400	0.600
8082	0.150	0.700	0.500
8071	0.650	0.800	0.300
7120	0.450	0.700	0.600
7121	0.450	0.800	0.600
7122	0.450	0.900	0.600
7123	0.550	0.000	0.600
7124	0.550	0.100	0.600
7125	0.550	0.200	0.600
7126	0.550	0.300	0.600
8070	0.550	0.800	0.300
8069	0.450	0.700	0.300
7129	0.550	0.600	0.600
7130	0.550	0.700	0.600
7131	0.550	0.800	0.600
7132	0.550	0.900	0.600
7133	0.650	0.000	0.600
7134	0.650	0.100	0.600
7135	0.650	0.200	0.600
7136	0.650	0.300	0.600
8068	0.450	0.400	0.300
7138	0.650	0.500	0.600
7139	0.650	0.600	0.600
7140	0.650	0.700	0.600
7141	0.650	0.800	0.600
7142	0.650	0.900	0.600
7143	0.750	0.000	0.600
7144	0.750	0.100	0.600
7145	0.750	0.200	0.600
7146	0.750	0.300	0.600
7147	0.750	0.400	0.600
7148	0.750	0.500	0.600
7149	0.750	0.600	0.600
7150	0.750	0.700	0.600
7151	0.750	0.800	0.600
7152	0.750	0.900	0.600
7153	0.850	0.000	0.600
7154	0.850	0.100	0.600
