,ID,k,g,s,macro_m
0,30691.0,0.4,0.4,0.9,5.000000000000001
1,30690.0,0.4,0.4,0.8,5.000000000000001
2,30689.0,0.4,0.4,0.7,5.000000000000001
3,30688.0,0.4,0.4,0.6,5.000000000000001
4,30687.0,0.4,0.4,0.5,5.000000000000001
5,30686.0,0.4,0.4,0.4,5.000000000000001
6,30685.0,0.4,0.4,0.3,5.000000000000001
7,30684.0,0.4,0.4,0.2,5.000000000000001
8,30683.0,0.4,0.4,0.1,5.000000000000001
9,30682.0,0.4,0.4,0.0,5.000000000000001
10,8585.0,0.05,0.1,0.2,1.1204481792717087
11,8081.0,0.15,0.6,0.5,2.758620689655173
12,8080.0,0.15,0.5,0.5,2.1164021164021167
13,8079.0,0.15,0.4,0.5,1.7777777777777781
14,8078.0,0.15,0.3,0.5,1.58102766798419
15,8077.0,0.15,0.2,0.5,1.4652014652014655
16,8076.0,0.15,0.1,0.5,1.4035087719298247
17,8075.0,0.15,0.0,0.5,1.384083044982699
18,8074.0,0.05,0.0,0.5,1.10803324099723
19,12727.0,0.35,0.25,0.3,2.7777777777777772
20,8584.0,0.05,0.0,0.2,1.10803324099723
21,7942.0,0.05,0.8,0.3,3.809523809523812
22,7941.0,0.05,0.7,0.3,2.424242424242424
23,7940.0,0.05,0.6,0.3,1.8433179723502304
24,7939.0,0.05,0.5,0.3,1.5325670498084292
25,7938.0,0.05,0.4,0.3,1.3468013468013469
26,7937.0,0.05,0.3,0.3,1.2307692307692308
27,7936.0,0.05,0.2,0.3,1.1594202898550725
28,7935.0,0.05,0.1,0.3,1.1204481792717087
29,7934.0,0.05,0.0,0.3,1.10803324099723
30,8209.0,1.45,0.4,0.5,23.529411764705923
31,7931.0,1.65,0.8,0.3,-4.597701149425282
32,7930.0,1.65,0.7,0.3,-14.814814814814802
33,7929.0,1.65,0.6,0.3,16.00000000000003
34,7928.0,1.65,0.5,0.3,5.797101449275367
35,8208.0,1.45,0.3,0.5,8.888888888888893
36,8207.0,1.45,0.2,0.5,6.153846153846156
37,8206.0,1.45,0.1,0.5,5.1948051948051965
38,8205.0,1.45,0.0,0.5,4.938271604938272
39,8204.0,1.35,0.9,0.5,-1.4545454545454546
40,8203.0,1.35,0.8,0.5,-1.9323671497584538
41,8202.0,1.35,0.7,0.5,-2.7210884353741505
42,7920.0,1.55,0.7,0.3,-5.333333333333337
43,7919.0,1.55,0.6,0.3,-17.391304347826104
44,7918.0,1.55,0.5,0.3,19.04761904761903
45,7917.0,1.55,0.4,0.3,7.017543859649122
46,8201.0,1.35,0.6,0.5,-4.210526315789475
47,8200.0,1.35,0.5,0.5,-7.843137254901964
48,8199.0,1.35,0.4,0.5,-26.666666666666693
49,8198.0,1.35,0.3,0.5,30.769230769230703
50,8197.0,1.35,0.2,0.5,12.121212121212112
51,8196.0,1.35,0.1,0.5,8.888888888888884
52,8195.0,1.35,0.0,0.5,8.163265306122444
53,7909.0,1.45,0.6,0.3,-6.349206349206348
54,7908.0,1.45,0.5,0.3,-21.05263157894735
55,7907.0,1.45,0.4,0.3,23.529411764705923
56,8194.0,1.25,0.9,0.5,-1.3377926421404682
57,8193.0,1.25,0.8,0.5,-1.7316017316017311
58,8192.0,1.25,0.7,0.5,-2.339181286549708
59,8191.0,1.25,0.6,0.5,-3.361344537815126
60,8190.0,1.25,0.5,0.5,-5.333333333333333
61,8189.0,1.25,0.4,0.5,-10.256410256410254
62,8188.0,1.25,0.3,0.5,-36.36363636363637
63,8187.0,1.25,0.2,0.5,44.44444444444446
